alpha-1-B glycoprotein	A1BG
glaucoma 1, open angle, J (juvenile-onset)	GLC1J
glaucoma 1, open angle, K (juvenile-onset)	GLC1K
glaucoma 1, open angle, L (adult-onset)	GLC1L
glaucoma 1, open angle, M (juvenile-onset)	GLC1M
glaucoma 1, open angle, N (juvenile-onset)	GLC1N
glaucoma 1, open angle, P	GLC1P
glaucoma 1, open angle, Q	GLC1Q
glaucoma 2, angle closure	GLC2A
glaucoma 3, primary infantile, B	GLC3B
glaucoma 3, primary congenital, C	GLC3C
glucocorticoid induced 1	GLCCI1
glucuronic acid epimerase	GLCE
glycine decarboxylase	GLDC
glycine decarboxylase pseudogene 1	GLDCP1
gliomedin	GLDN
GLE1 RNA export mediator	GLE1
golgi glycoprotein 1	GLG1
GLI family zinc finger 1	GLI1
GLI family zinc finger 2	GLI2
GLI family zinc finger 3	GLI3
GLI family zinc finger 4	GLI4
glioblastoma down-regulated RNA	GLIDR
GLI pathogenesis related 1	GLIPR1
GLIPR1 like 1	GLIPR1L1
GLIPR1 like 2	GLIPR1L2
GLI pathogenesis related 2	GLIPR2
GLIS family zinc finger 1	GLIS1
GLIS family zinc finger 2	GLIS2
GLIS2 antisense RNA 1	GLIS2-AS1
GLIS family zinc finger 3	GLIS3
GLIS3 antisense RNA 1	GLIS3-AS1
glomulin, FKBP associated protein	GLMN
glycosylated lysosomal membrane protein	GLMP
glyoxalase I	GLO1
glyoxalase domain containing 4	GLOD4
glyoxalase domain containing 5	GLOD5
glucagon like peptide 1 receptor	GLP1R
glucagon like peptide 2 receptor	GLP2R
glycine receptor alpha 1	GLRA1
glycine receptor alpha 2	GLRA2
glycine receptor alpha 3	GLRA3
glycine receptor alpha 4	GLRA4
glycine receptor beta	GLRB
glutaredoxin	GLRX
glutaredoxin 2	GLRX2
glutaredoxin 3	GLRX3
glutaredoxin 3 pseudogene 1	GLRX3P1
glutaredoxin 3 pseudogene 2	GLRX3P2
glutaredoxin 5	GLRX5
glutaredoxin pseudogene 1	GLRXP1
glutaredoxin pseudogene 2	GLRXP2
glutaredoxin pseudogene 3	GLRXP3
glutaminase	GLS
glutaminase 2	GLS2
glycosyltransferase 1 domain containing 1	GLT1D1
glycosyltransferase 6 domain containing 1	GLT6D1
glycosyltransferase 8 domain containing 1	GLT8D1
glycosyltransferase 8 domain containing 2	GLT8D2
glycolipid transfer protein	GLTP
glycolipid transfer protein domain containing 2	GLTPD2
glycolipid transfer protein pseudogene 1	GLTPP1
glutamate dehydrogenase 1	GLUD1
glutamate dehydrogenase 1 pseudogene 2	GLUD1P2
glutamate dehydrogenase 1 pseudogene 3	GLUD1P3
glutamate dehydrogenase 1 pseudogene 4	GLUD1P4
glutamate dehydrogenase 1 pseudogene 5	GLUD1P5
glutamate dehydrogenase 1 pseudogene 6	GLUD1P6
glutamate dehydrogenase 1 pseudogene 8	GLUD1P8
glutamate dehydrogenase 1 pseudogene 9	GLUD1P9
glutamate dehydrogenase 2	GLUD2
glutamate-ammonia ligase	GLUL
glutamate-ammonia ligase pseudogene 1	GLULP1
glutamate-ammonia ligase pseudogene 2	GLULP2
glutamate-ammonia ligase pseudogene 3	GLULP3
glutamate-ammonia ligase pseudogene 4	GLULP4
glutamate-ammonia ligase pseudogene 5	GLULP5
glutamate-ammonia ligase pseudogene 6	GLULP6
glycine-N-acyltransferase	GLYAT
glycine-N-acyltransferase like 1	GLYATL1
glycine-N-acyltransferase like 1B	GLYATL1B
glycine-N-acyltransferase like 1 pseudogene 1	GLYATL1P1
glycine-N-acyltransferase like 1 pseudogene 2	GLYATL1P2
glycine-N-acyltransferase like 1 pseudogene 4	GLYATL1P4
glycine-N-acyltransferase like 2	GLYATL2
glycine-N-acyltransferase like 3	GLYATL3
glycine B complementing	GLYB
glycosylation dependent cell adhesion molecule 1 (pseudogene)	GLYCAM1
glycerate kinase	GLYCTK
GLYCTK antisense RNA 1	GLYCTK-AS1
glyoxylate reductase 1 homolog	GLYR1
glycosuria 1, renal	GLYS1
GM2 ganglioside activator	GM2A
GM2 ganglioside activator pseudogene 1	GM2AP1
GM2 ganglioside activator pseudogene 2	GM2AP2
germ cell-less 1, spermatogenesis associated	GMCL1
GMCL1 pseudogene 2	GMCL1P2
germ cell-less 2, spermatogenesis associated	GMCL2
GDP-mannose 4,6-dehydratase	GMDS
GMDS divergent transcript	GMDS-DT
glucocorticoid modulatory element binding protein 1	GMEB1
glucocorticoid modulatory element binding protein 2	GMEB2
glia maturation factor alpha	GMFA
glia maturation factor beta	GMFB
glia maturation factor beta pseudogene 1	GMFBP1
glia maturation factor gamma	GMFG
GEM interacting protein	GMIP
glycosylphosphatidylinositol anchored molecule like	GML
geminin coiled-coil domain containing	GMNC
geminin DNA replication inhibitor	GMNN
GDP-mannose pyrophosphorylase A	GMPPA
GDP-mannose pyrophosphorylase B	GMPPB
guanosine monophosphate reductase	GMPR
guanosine monophosphate reductase 2	GMPR2
guanine monophosphate synthase	GMPS
guanine monophosphate synthase pseudogene 1	GMPSP1
G protein subunit alpha 11	GNA11
G protein subunit alpha 12	GNA12
G protein subunit alpha 13	GNA13
G protein subunit alpha 14	GNA14
GNA14 antisense RNA 1	GNA14-AS1
G protein subunit alpha 15	GNA15
G protein subunit alpha i1	GNAI1
G protein subunit alpha i2	GNAI2
G protein subunit alpha i2 pseudogene 1	GNAI2P1
G protein subunit alpha i2 pseudogene 2	GNAI2P2
G protein subunit alpha i3	GNAI3
G protein subunit alpha L	GNAL
G protein subunit alpha o1	GNAO1
G protein subunit alpha q	GNAQ
G protein subunit alpha q pseudogene 1	GNAQP1
GNAS complex locus	GNAS
GNAS antisense RNA 1	GNAS-AS1
G protein subunit alpha transducin 1	GNAT1
G protein subunit alpha transducin 2	GNAT2
G protein subunit alpha transducin 3	GNAT3
G protein subunit alpha z	GNAZ
G protein subunit beta 1	GNB1
G protein subunit beta 1 like	GNB1L
G protein subunit beta 2	GNB2
G protein subunit beta 3	GNB3
G protein subunit beta 4	GNB4
G protein subunit beta 5	GNB5
glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	GNE
G protein subunit gamma 2	GNG2
G protein subunit gamma 3	GNG3
G protein subunit gamma 4	GNG4
G protein subunit gamma 5	GNG5
G protein subunit gamma 5 pseudogene 1	GNG5P1
G protein subunit gamma 5 pseudogene 2	GNG5P2
G protein subunit gamma 5 pseudogene 3	GNG5P3
G protein subunit gamma 5 pseudogene 4	GNG5P4
G protein subunit gamma 5 pseudogene 5	GNG5P5
G protein subunit gamma 7	GNG7
G protein subunit gamma 8	GNG8
G protein subunit gamma 10	GNG10
G protein subunit gamma 10 pseudogene 1	GNG10P1
G protein subunit gamma 11	GNG11
G protein subunit gamma 12	GNG12
GNG12, DIRAS3 and WLS antisense RNA 1	GNG12-AS1
G protein subunit gamma 13	GNG13
G protein subunit gamma 14	GNG14
G protein subunit gamma transducin 1	GNGT1
G protein subunit gamma transducin 2	GNGT2
G protein nucleolar 1 (putative)	GNL1
G protein nucleolar 2	GNL2
G protein nucleolar 2 pseudogene 1	GNL2P1
G protein nucleolar 3	GNL3
G protein nucleolar 3 like	GNL3L
G protein nucleolar 3 like pseudogene 1	GNL3LP1
granulysin	GNLY
glycine N-methyltransferase	GNMT
glyceronephosphate O-acyltransferase	GNPAT
glyceronephosphate O-acyltransferase pseudogene	GNPATP
glucosamine-6-phosphate deaminase 1	GNPDA1
glucosamine-6-phosphate deaminase 2	GNPDA2
glucosamine-phosphate N-acetyltransferase 1	GNPNAT1
N-acetylglucosamine-1-phosphate transferase subunits alpha and beta	GNPTAB
N-acetylglucosamine-1-phosphate transferase subunit gamma	GNPTG
gonadotropin releasing hormone 1	GNRH1
gonadotropin releasing hormone 2	GNRH2
gonadotropin releasing hormone receptor	GNRHR
gonadotropin releasing hormone receptor 2 (pseudogene)	GNRHR2
GNRHR2 pseudogene 1	GNRHR2P1
glucosamine (N-acetyl)-6-sulfatase	GNS
golgin A1	GOLGA1
golgin A2	GOLGA2
GOLGA2 pseudogene 1	GOLGA2P1
GOLGA2 pseudogene 2 Y-linked	GOLGA2P2Y
GOLGA2 pseudogene 3 Y-linked	GOLGA2P3Y
GOLGA2 pseudogene 4	GOLGA2P4
GOLGA2 pseudogene 5	GOLGA2P5
GOLGA2 pseudogene 6	GOLGA2P6
GOLGA2 pseudogene 7	GOLGA2P7
GOLGA2 pseudogene 8	GOLGA2P8
GOLGA2 pseudogene 9	GOLGA2P9
GOLGA2 pseudogene 10	GOLGA2P10
GOLGA2 pseudogene 11	GOLGA2P11
golgin A3	GOLGA3
golgin A4	GOLGA4
golgin A4 pseudogene 1	GOLGA4P1
golgin A4 pseudogene 2	GOLGA4P2
golgin A4 pseudogene 3	GOLGA4P3
golgin A5	GOLGA5
golgin A5 pseudogene 1	GOLGA5P1
golgin A6 family member A	GOLGA6A
golgin A6 family member B	GOLGA6B
golgin A6 family member C	GOLGA6C
golgin A6 family member D	GOLGA6D
golgin A6 family like 1	GOLGA6L1
golgin A6 family like 2	GOLGA6L2
golgin A6 family like 3	GOLGA6L3
golgin A6 family like 4	GOLGA6L4
golgin A6 family like 5, pseudogene	GOLGA6L5P
golgin A6 family like 6	GOLGA6L6
golgin A6 family like 7	GOLGA6L7
golgin A6 family like 9	GOLGA6L9
golgin A6 family like 10	GOLGA6L10
golgin A6 family like 11, pseudogene	GOLGA6L11P
golgin A6 family like 12, pseudogene	GOLGA6L12P
golgin A6 family like 13, pseudogene	GOLGA6L13P
golgin A6 family like 14, pseudogene	GOLGA6L14P
golgin A6 family like 16, pseudogene	GOLGA6L16P
golgin A6 family like 17, pseudogene	GOLGA6L17P
golgin A6 family like 19	GOLGA6L19
golgin A6 family like 22	GOLGA6L22
golgin A7	GOLGA7
golgin A7 family member B	GOLGA7B
golgin A8 family member A	GOLGA8A
golgin A8 family member B	GOLGA8B
golgin A8 family member C, pseudogene	GOLGA8CP
golgin A8 family member D, pseudogene	GOLGA8DP
golgin A8 family member E, pseudogene	GOLGA8EP
golgin A8 family member F	GOLGA8F
golgin A8 family member G	GOLGA8G
golgin A8 family member H	GOLGA8H
golgin A8 family member I, pseudogene	GOLGA8IP
golgin A8 family member J	GOLGA8J
golgin A8 family member K	GOLGA8K
golgin A8 family member M	GOLGA8M
golgin A8 family member N	GOLGA8N
golgin A8 family member O	GOLGA8O
golgin A8 family member Q	GOLGA8Q
golgin A8 family member R	GOLGA8R
golgin A8 family member S	GOLGA8S
golgin A8 family member T	GOLGA8T
golgin A8 family member U, pseudogene	GOLGA8UP
golgin A8 family member V, pseudogene	GOLGA8VP
golgin B1	GOLGB1
golgi integral membrane protein 4	GOLIM4
golgi membrane protein 1	GOLM1
golgi phosphoprotein 3	GOLPH3
golgi phosphoprotein 3 like	GOLPH3L
golgi transport 1A	GOLT1A
golgi transport 1B	GOLT1B
gon-4 like	GON4L
GON7 subunit of KEOPS complex	GON7
golgi associated PDZ and coiled-coil motif containing	GOPC
golgin, RAB6 interacting	GORAB
GORAB antisense RNA 1	GORAB-AS1
golgi reassembly stacking protein 1	GORASP1
golgi reassembly stacking protein 2	GORASP2
golgi SNAP receptor complex member 1	GOSR1
golgi SNAP receptor complex member 2	GOSR2
glutamic-oxaloacetic transaminase 1	GOT1
glutamic-oxaloacetic transaminase 1 like 1	GOT1L1
glutamic-oxaloacetic transaminase 2	GOT2
glutamic-oxaloacetic transaminase 2 pseudogene 1	GOT2P1
glutamic-oxaloacetic transaminase 2 pseudogene 2	GOT2P2
glutamic-oxaloacetic transaminase 2 pseudogene 3	GOT2P3
glutamic-oxaloacetic transaminase 2 pseudogene 4	GOT2P4
glutamic-oxaloacetic transaminase 2 pseudogene 5	GOT2P5
glycoprotein Ib platelet subunit alpha	GP1BA
glycoprotein Ib platelet subunit beta	GP1BB
glycoprotein 2	GP2
glycoprotein V platelet	GP5
glycoprotein VI platelet	GP6
glycoprotein IX platelet	GP9
glycoprotein A33	GPA33
glycosylphosphatidylinositol anchor attachment 1	GPAA1
glycosylphosphatidylinositol anchor attachment 1 pseudogene 1	GPAA1P1
glycosylphosphatidylinositol anchor attachment 1 pseudogene 2	GPAA1P2
GPALPP motifs containing 1	GPALPP1
glycerol-3-phosphate acyltransferase, mitochondrial	GPAM
G-patch domain and ankyrin repeats 1	GPANK1
glycerol-3-phosphate acyltransferase 2, mitochondrial	GPAT2
glycerol-3-phosphate acyltransferase 2 pseudogene 1	GPAT2P1
glycerol-3-phosphate acyltransferase 2 pseudogene 2	GPAT2P2
glycerol-3-phosphate acyltransferase 3	GPAT3
glycerol-3-phosphate acyltransferase 4	GPAT4
G-patch domain containing 1	GPATCH1
G-patch domain containing 2	GPATCH2
G-patch domain containing 2 like	GPATCH2L
G-patch domain containing 3	GPATCH3
G-patch domain containing 4	GPATCH4
G-patch domain containing 8	GPATCH8
G-patch domain containing 11	GPATCH11
G protein-coupled bile acid receptor 1	GPBAR1
GC-rich promoter binding protein 1	GPBP1
GC-rich promoter binding protein 1 like 1	GPBP1L1
glypican 1	GPC1
glypican 2	GPC2
glypican 3	GPC3
GPC3 antisense RNA 1	GPC3-AS1
glypican 4	GPC4
glypican 5	GPC5
GPC5 antisense RNA 1	GPC5-AS1
GPC5 antisense RNA 2	GPC5-AS2
GPC5 intronic transcript 1	GPC5-IT1
glypican 6	GPC6
GPC6 antisense RNA 1	GPC6-AS1
GPC6 antisense RNA 2	GPC6-AS2
glycerophosphocholine phosphodiesterase 1	GPCPD1
glycerol-3-phosphate dehydrogenase 1	GPD1
glycerol-3-phosphate dehydrogenase 1 like	GPD1L
glycerol-3-phosphate dehydrogenase 2	GPD2
glaucoma-related pigment dispersion syndrome 1	GPDS1
G protein-coupled estrogen receptor 1	GPER1
glycoprotein hormone alpha 2	GPHA2
glycoprotein hormone beta 5	GPHB5
gephyrin	GPHN
glucose-6-phosphate isomerase	GPI
glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	GPIHBP1
G-patch domain and KOW motifs	GPKOW
glycosylphosphatidylinositol specific phospholipase D1	GPLD1
glycoprotein M6A	GPM6A
glycoprotein M6B	GPM6B
glycoprotein M6B pseudogene 1	GPM6BP1
glycoprotein M6B pseudogene 2	GPM6BP2
glycoprotein M6B pseudogene 3	GPM6BP3
GPN-loop GTPase 1	GPN1
GPN-loop GTPase 2	GPN2
GPN-loop GTPase 3	GPN3
GPN-loop GTPase 3 pseudogene 1	GPN3P1
glycoprotein nmb	GPNMB
G protein-coupled receptor 1	GPR1
GPR1 antisense RNA	GPR1-AS
G protein-coupled receptor 3	GPR3
G protein-coupled receptor 4	GPR4
G protein-coupled receptor 6	GPR6
G protein-coupled receptor 12	GPR12
G protein-coupled receptor 15	GPR15
G protein-coupled receptor 17	GPR17
G protein-coupled receptor 18	GPR18
G protein-coupled receptor 19	GPR19
G protein-coupled receptor 20	GPR20
G protein-coupled receptor 21	GPR21
G protein-coupled receptor 22	GPR22
G protein-coupled receptor 25	GPR25
G protein-coupled receptor 26	GPR26
G protein-coupled receptor 27	GPR27
G protein-coupled receptor 31	GPR31
G protein-coupled receptor 32	GPR32
GPR32 pseudogene 1	GPR32P1
G protein-coupled receptor 33 (gene/pseudogene)	GPR33
G protein-coupled receptor 34	GPR34
G protein-coupled receptor 35	GPR35
G protein-coupled receptor 36	GPR36
G protein-coupled receptor 37	GPR37
G protein-coupled receptor 37 like 1	GPR37L1
G protein-coupled receptor 39	GPR39
G protein-coupled receptor 42 (gene/pseudogene)	GPR42
G protein-coupled receptor 45	GPR45
G protein-coupled receptor 50	GPR50
GPR50 antisense RNA 1	GPR50-AS1
G protein-coupled receptor 52	GPR52
G protein-coupled receptor 53, pseudogene	GPR53P
G protein-coupled receptor 55	GPR55
G protein-coupled receptor 61	GPR61
G protein-coupled receptor 62	GPR62
G protein-coupled receptor 63	GPR63
G protein-coupled receptor 65	GPR65
G protein-coupled receptor 68	GPR68
G protein-coupled receptor 75	GPR75
GPR75-ASB3 readthrough	GPR75-ASB3
G protein-coupled receptor 78	GPR78
G protein-coupled receptor 79, pseudogene	GPR79
G protein-coupled receptor 82	GPR82
G protein-coupled receptor 83	GPR83
G protein-coupled receptor 84	GPR84
G protein-coupled receptor 85	GPR85
G protein-coupled receptor 87	GPR87
G protein-coupled receptor 88	GPR88
G protein-coupled receptor 89A	GPR89A
G protein-coupled receptor 89B	GPR89B
G protein-coupled receptor 89 pseudogene	GPR89P
G protein-coupled receptor 101	GPR101
G protein-coupled receptor 107	GPR107
G protein-coupled receptor 108	GPR108
G protein-coupled receptor 119	GPR119
G protein-coupled receptor 132	GPR132
G protein-coupled receptor 135	GPR135
G protein-coupled receptor 137	GPR137
G protein-coupled receptor 137B	GPR137B
G protein-coupled receptor 137C	GPR137C
G protein-coupled receptor 139	GPR139
G protein-coupled receptor 141	GPR141
G protein-coupled receptor 141B, pseudogene	GPR141BP
G protein-coupled receptor 142	GPR142
G protein-coupled receptor 143	GPR143
G protein-coupled receptor 143 pseudogene	GPR143P
G protein-coupled receptor 146	GPR146
G protein-coupled receptor 148	GPR148
G protein-coupled receptor 149	GPR149
G protein-coupled receptor 150	GPR150
G protein-coupled receptor 151	GPR151
G protein-coupled receptor 152	GPR152
G protein-coupled receptor 153	GPR153
G protein-coupled receptor 155	GPR155
G protein-coupled receptor 156	GPR156
G protein-coupled receptor 157	GPR157
G protein-coupled receptor 158	GPR158
GPR158 antisense RNA 1	GPR158-AS1
G protein-coupled receptor 160	GPR160
G protein-coupled receptor 161	GPR161
G protein-coupled receptor 162	GPR162
G protein-coupled receptor 165 pseudogene	GPR165P
G protein-coupled receptor 166 pseudogene	GPR166P
G protein-coupled receptor 171	GPR171
G protein-coupled receptor 173	GPR173
G protein-coupled receptor 174	GPR174
G protein-coupled receptor 176	GPR176
G protein-coupled receptor 179	GPR179
G protein-coupled receptor 180	GPR180
G protein-coupled receptor 182	GPR182
G protein-coupled receptor 183	GPR183
GPR107 adjacent cis regulating lncRNA	GPRACR
G protein-coupled receptor associated sorting protein 1	GPRASP1
G protein-coupled receptor associated sorting protein 2	GPRASP2
G protein-coupled receptor class C group 5 member A	GPRC5A
G protein-coupled receptor class C group 5 member B	GPRC5B
G protein-coupled receptor class C group 5 member C	GPRC5C
G protein-coupled receptor class C group 5 member D	GPRC5D
GPRC5D and HEBP1 antisense RNA 1	GPRC5D-AS1
G protein-coupled receptor class C group 6 member A	GPRC6A
G protein regulated inducer of neurite outgrowth 1	GPRIN1
G protein regulated inducer of neurite outgrowth 2	GPRIN2
GPRIN family member 3	GPRIN3
G protein pathway suppressor 1	GPS1
G protein pathway suppressor 2	GPS2
G protein pathway suppressor 2 pseudogene 1	GPS2P1
G protein pathway suppressor 2 pseudogene 2	GPS2P2
G protein signaling modulator 1	GPSM1
G protein signaling modulator 2	GPSM2
G protein signaling modulator 3	GPSM3
glutamic--pyruvic transaminase	GPT
glutamic--pyruvic transaminase 2	GPT2
glutathione peroxidase 1	GPX1
glutathione peroxidase pseudogene 1	GPX1P1
glutathione peroxidase pseudogene 2	GPX1P2
glutathione peroxidase 2	GPX2
glutathione peroxidase 3	GPX3
glutathione peroxidase 4	GPX4
glutathione peroxidase 5	GPX5
glutathione peroxidase 6	GPX6
glutathione peroxidase 7	GPX7
glutathione peroxidase 8 (putative)	GPX8
GRAM domain containing 1A	GRAMD1A
GRAM domain containing 1B	GRAMD1B
GRAM domain containing 1C	GRAMD1C
GRAM domain containing 2A	GRAMD2A
GRAM domain containing 2B	GRAMD2B
GRAM domain containing 4	GRAMD4
GRAM domain containing 4 pseudogene 1	GRAMD4P1
GRAM domain containing 4 pseudogene 2	GRAMD4P2
GRAM domain containing 4 pseudogene 3	GRAMD4P3
GRAM domain containing 4 pseudogene 4	GRAMD4P4
GRAM domain containing 4 pseudogene 5	GRAMD4P5
GRAM domain containing 4 pseudogene 6	GRAMD4P6
GRAM domain containing 4 pseudogene 7	GRAMD4P7
GRAM domain containing 4 pseudogene 8	GRAMD4P8
GRB2 related adaptor protein	GRAP
GRB2 related adaptor protein 2	GRAP2
GRB2 related adaptor protein like	GRAPL
general receptor for phosphoinositides 1 associated scaffold protein	GRASP
GRASP antisense RNA 1	GRASP-AS1
growth factor receptor bound protein 2	GRB2
growth factor receptor bound protein 7	GRB7
growth factor receptor bound protein 10	GRB10
growth factor receptor bound protein 14	GRB14
growth regulating estrogen receptor binding 1	GREB1
GREB1 like retinoic acid receptor coactivator	GREB1L
gremlin 1, DAN family BMP antagonist	GREM1
gremlin 2, DAN family BMP antagonist	GREM2
grainyhead like transcription factor 1	GRHL1
grainyhead like transcription factor 2	GRHL2
grainyhead like transcription factor 3	GRHL3
glyoxylate and hydroxypyruvate reductase	GRHPR
glutamate ionotropic receptor AMPA type subunit 1	GRIA1
glutamate ionotropic receptor AMPA type subunit 2	GRIA2
glutamate ionotropic receptor AMPA type subunit 3	GRIA3
glutamate ionotropic receptor AMPA type subunit 4	GRIA4
glutamate ionotropic receptor delta type subunit 1	GRID1
GRID1 antisense RNA 1	GRID1-AS1
glutamate ionotropic receptor delta type subunit 2	GRID2
Grid2 interacting protein	GRID2IP
galectin-related inter-fiber protein	GRIFIN
glutamate ionotropic receptor kainate type subunit 1	GRIK1
GRIK1 antisense RNA 1	GRIK1-AS1
GRIK1 antisense RNA 2	GRIK1-AS2
