Abnormality of body height	Abnormality of body height
Wide fingernails	Broad nail
Bunion	Hallux valgus
Lateral deviation of great toe	Hallux valgus
Lateral deviation of halluces	Hallux valgus
Duplication of bones of the toes	Foot polydactyly
Polydactyly of feet	Foot polydactyly
Polydactyly of the foot	Foot polydactyly
Extra toe attached near the little toe	Postaxial foot polydactyly
Fibular polydactyly	Postaxial foot polydactyly
Polydactyly affecting the 5th toe	Postaxial foot polydactyly
Postaxial polydactyly of feet	Postaxial foot polydactyly
Postaxial polydactyly of foot	Postaxial foot polydactyly
Posterior polydactyly of foot	Postaxial foot polydactyly
Brachydactyly of the foot	Short toe
Hypoplasia of the toe	Short toe
Hypoplastic toes	Short toe
Short foot phalanges	Short toe
Short toe	Short toe
Short toes	Short toe
Stubby toes	Short toe
Abnormality of the long bone of foot	Abnormal metatarsal morphology
Disproportionately large feet	Long foot
large feet	Long foot
long feet	Long foot
Long foot	Long foot
Camptodactyly of feet	Camptodactyly of toe
Broad toe	Broad toe
Wide toe	Broad toe
Congenital vertical talus	Rocker bottom foot
Rocker bottom feet	Rocker bottom foot
Rocker bottom foot	Rocker bottom foot
Rocker-bottom feet	Rocker bottom foot
Rockerbottom feet	Rocker bottom foot
Foot ectrodactyly	Split foot
Lobster-claw foot deformity	Split foot
Split foot	Split foot
Split-foot	Split foot
Forefoot varus	Metatarsus adductus
Front half of foot turns inward	Metatarsus adductus
Intoe	Metatarsus adductus
Metatarsus adductovarsus	Metatarsus adductus
Metatarsus varus	Metatarsus adductus
Partial/complete duplication of the phalanges of the big toe	Preaxial foot polydactyly
Polydactyly affecting the hallux	Preaxial foot polydactyly
Preaxial hallucal polydactyly	Preaxial foot polydactyly
Preaxial polydactyly of feet	Preaxial foot polydactyly
Preaxial polydactyly of foot	Preaxial foot polydactyly
Preaxial polydactyly of the feet	Preaxial foot polydactyly
Preaxial polydactyly, feet	Preaxial foot polydactyly
Acroosteolysis of feet	Foot acroosteolysis
Abnormalities of the hallux	Abnormality of the hallux
Abnormality of the big toe	Abnormality of the hallux
Crossover toe	Overlapping toe
Overlapping toe	Overlapping toe
Overlapping toes	Overlapping toe
Overriding toes	Overlapping toe
Increased length of the hallux	Long hallux
Large halluces	Long hallux
Long big toe	Long hallux
Long halluces	Long hallux
Calcaneovalgus	Calcaneovalgus deformity
Calcaneovalgus Foot	Calcaneovalgus deformity
Foot and ankle bend up toward shin of leg	Calcaneovalgus deformity
Valgus position of the calcaneus	Calcaneovalgus deformity
Missing toes	Foot oligodactyly
Oligodactyly of feet	Foot oligodactyly
Abnormal ankle bones	Abnormality of the tarsal bones
Abnormal tarsals	Abnormality of the tarsal bones
Gap between 1st and 2nd toes	Sandal gap
Gap between first and second toe	Sandal gap
Increased space between first and second toes	Sandal gap
Sandal gap between first and second toes	Sandal gap
Space between great toe and second toe	Sandal gap
Wide space between 1st, 2nd toes	Sandal gap
Wide space between first and second toes	Sandal gap
Wide-spaced big toe	Sandal gap
Widely spaced 1st-2nd toes	Sandal gap
Widely spaced first and second toes	Sandal gap
Widened gap 1st-2nd toes	Sandal gap
Widened gap first and second toe	Sandal gap
Bifid distal phalanges of toes	Bifid distal phalanx of toe
Bifid terminal phalanx of toe	Bifid distal phalanx of toe
Notched outermost bones of toes	Bifid distal phalanx of toe
Gout of big toe	Podagra
Hypoplastic distal phalanges of feet	Short distal phalanx of toe
Short outermost bone of toe	Short distal phalanx of toe
Clinodactyly of feet	Toe clinodactyly
Toe curvature	Toe clinodactyly
Curvature of the little toe	Clinodactyly of the 5th toe
Curvature of the pinkie toe	Clinodactyly of the 5th toe
Curvature of the pinky toe	Clinodactyly of the 5th toe
Deep wrinkles in soles of feet	Deep plantar creases
Acroosteolysis of distal phalanges of feet	Acroosteolysis of distal phalanges (feet)
Abnormality of blood and blood-forming tissues	Abnormality of blood and blood-forming tissues
Abnormality of the haematopoietic system	Abnormality of blood and blood-forming tissues
Abnormality of the hematopoietic system	Abnormality of blood and blood-forming tissues
Hematologic disease	Abnormality of blood and blood-forming tissues
Hematological abnormality	Abnormality of blood and blood-forming tissues
Blood platelet disease	Abnormal thrombocyte morphology
Platelet abnormalities	Abnormal thrombocyte morphology
Thrombasthenia	Abnormal thrombocyte morphology
Low platelet count	Thrombocytopenia
Abnormality of neutrophils	Abnormality of neutrophils
Abnormality of polymorphonuclear neutrophils	Abnormality of neutrophils
Low blood neutrophil count	Neutropenia
Low neutrophil count	Neutropenia
Peripheral neutropenia	Neutropenia
Low blood cell count	Pancytopenia
Abnormality of erythrocytes	Abnormal erythrocyte morphology
Abnormality of erythroid lineage cell	Abnormal erythrocyte morphology
Abnormality of red blood cells	Abnormal erythrocyte morphology
Haemolytic anaemia	Hemolytic anemia
Increased hemolysis	Hemolytic anemia
Abnormality of eosinophils	Abnormal eosinophil morphology
High blood eosinophil count	Eosinophilia
Abnormal leukocyte function	Abnormal leukocyte morphology
Abnormality of leukocytes	Abnormal leukocyte morphology
Decreased blood leukocyte number	Leukopenia
Low white blood cell count	Leukopenia
Talipes foot deformities	Talipes
Pes calcaneovarus	Talipes calcaneovalgus
Short second toe	Short 2nd toe
Foot bone infection	Foot osteomyelitis
Absolute lymphocyte count decrease	Lymphopenia
Decreased blood lymphocyte number	Lymphopenia
Low lymphocyte number	Lymphopenia
Lymphocytopenia	Lymphopenia
Autoimmune haemolytic anaemia	Autoimmune hemolytic anemia
Hemolytic anemia, autoimmune	Autoimmune hemolytic anemia
Ferropenic	Iron deficiency anemia
Iron-deficiency anemia	Iron deficiency anemia
Bleeding diathesis	Abnormal bleeding
Bleeding tendency	Abnormal bleeding
Hemorrhagic diathesis	Abnormal bleeding
Increased number of platelets in blood	Thrombocytosis
Increased platelet count	Thrombocytosis
Thrombocythaemia	Thrombocytosis
Thrombocythemia	Thrombocytosis
Abnormally shaped erythrocytes	Polycythemia
Erythrocytosis	Polycythemia
Increased red blood cells	Polycythemia
Polyglobulia	Polycythemia
Anaemia	Anemia
Decreased hemoglobin	Anemia
Low number of red blood cells or hemoglobin	Anemia
Autoimmune neutropenia	Neutropenia in presence of anti-neutropil antibodies
thrombocytopenia, congenital	Congenital thrombocytopenia
Blood clot in blood vessel	Thromboembolism
Embolism and thrombosis	Thromboembolism
Thromboembolic disease	Thromboembolism
Thromboembolic events	Thromboembolism
Blood cancer	Leukemia
Abnormality of granulocytes	Abnormal granulocyte morphology
Abnormality of neutrophil	Abnormal granulocyte morphology
Abnormality of basophils	Abnormal basophil morphology
Acute kidney failure	Acute kidney injury
Acute renal failure	Acute kidney injury
Narrowing of kidney artery	Renal artery stenosis
Enlarged lysosomal vacuoles in lymphocytes	Vacuolated lymphocytes
Vacuolated blood lymphocytes	Vacuolated lymphocytes
Increased immature red blood cells	Reticulocytosis
Increased number of immature red blood cells	Reticulocytosis
Increased reticulocyte count	Reticulocytosis
Increased reticulocytes	Reticulocytosis
Hypersideremic anemia	Sideroblastic anemia
Acanthocytes	Acanthocytosis
Red cell acanthocytosis	Acanthocytosis
Abnormal blood clotting	Abnormality of coagulation
Abnormal blood coagulation studies	Abnormality of coagulation
Blood coagulation disorder	Abnormality of coagulation
Coagulation abnormalities	Abnormality of coagulation
Coagulation abnormality	Abnormality of coagulation
Haemorrhagic disorders	Abnormality of coagulation
Factor XI deficiency	Reduced factor XI activity
Low factor XI activity	Reduced factor XI activity
Hypochromic anaemia	Hypochromic anemia
Bleeding below the skin	Subcutaneous hemorrhage
Excessive bleeding after minor trauma	Persistent bleeding after trauma
Frequent bleeding with trauma	Persistent bleeding after trauma
Prolonged bleeding after minor trauma	Persistent bleeding after trauma
Laboratory abnormality	Abnormality of metabolism/homeostasis
Metabolism abnormality	Abnormality of metabolism/homeostasis
acidemia	Acidosis
Hypoglycaemia	Hypoglycemia
Low blood sugar	Hypoglycemia
Dehydration	Dehydration
Fever	Fever
Hyperthermia	Fever
Pyrexia	Fever
High levels of ketone bodies	Ketosis
Hyperketosis	Ketosis
Accumulation of acid in body due to kidney problem	Renal tubular acidosis
Abnormal glucose tolerance	Glucose intolerance
Glucose intolerance	Glucose intolerance
HP:0000833	Glucose intolerance
Diabetic ketosis	Diabetic ketoacidosis
Episodic fever	Episodic fever
Hyperthermia, episodic	Episodic fever
Increased body temperature, episodic	Episodic fever
Intermittent fever	Episodic fever
Unexplained fevers	Unexplained fevers
Centripetal obesity	Truncal obesity
Truncal obesity	Truncal obesity
Extreme thirst	Polydipsia
Small heart	Hypoplastic heart
Underdeveloped heart	Hypoplastic heart
Heart palpitations	Palpitations
Missed heart beat	Palpitations
Palpitations	Palpitations
Skipped heart beat	Palpitations
Abnormal speech discrimination	Abnormal speech discrimination
Poor speech discrimination	Abnormal speech discrimination
Absent or hypoplastic metatarsal	Aplasia/Hypoplasia of metatarsal bones
Absent/hypoplastic metacarpals	Aplasia/Hypoplasia of metatarsal bones
Absent/hypoplastic metatarsals	Aplasia/Hypoplasia of metatarsal bones
Absent/small long bone of foot	Aplasia/Hypoplasia of metatarsal bones
Absent/underdeveloped long bone of foot	Aplasia/Hypoplasia of metatarsal bones
Aplastic/hypoplastic metatarsals	Aplasia/Hypoplasia of metatarsal bones
Abnormality of the scalp	Abnormality of the scalp
Anomaly of scalp	Abnormality of the scalp
Diffuse mesangial sclerosis glomerulopathy	Diffuse mesangial sclerosis
Mesangial sclerosis	Diffuse mesangial sclerosis
Tubulointerstitial nephropathy	Tubulointerstitial abnormality
Interstitial nephritis	Tubulointerstitial nephritis
Nephritis, Tubulointerstitial	Tubulointerstitial nephritis
Idiopathic thrombocytopenia	Autoimmune thrombocytopenia
Idiopathic thrombocytopenic purpura	Autoimmune thrombocytopenia
Immune thrombocytopenia	Autoimmune thrombocytopenia
Elevated white blood count	Leukocytosis
High white blood count	Leukocytosis
Increased blood leukocyte number	Leukocytosis
Glanzmann thrombasthenia	Decreased platelet glycoprotein IIb-IIIa
Reduced level of platelet glycoprotein IIb/IIIa complex	Decreased platelet glycoprotein IIb-IIIa
Anti-thrombin III deficiency	Reduced antithrombin III activity
Antithrombin III deficiency	Reduced antithrombin III activity
Decreased antithrombin III	Reduced antithrombin III activity
Abnormal blood clot	Abnormal thrombosis
Extramedullary erythropoiesis	Extramedullary hematopoiesis
Schistocytes	Schistocytosis
'Sea blue' histiocytes	Sea-blue histiocytosis
Sea-blue histiocyte	Sea-blue histiocytosis
Cd43 defectively expressed on surface of blood cells	Reduced lymphocyte surface expression of CD43
Reduced lymphocyte surface expression of sialophorin	Reduced lymphocyte surface expression of CD43
Hypoglycemia, hypoketotic	Hypoketotic hypoglycemia
Hyperosmolar dehydration	Hypertonic dehydration
High blood ammonia levels	Hyperammonemia
hypoglycaemia, recurrent	Recurrent hypoglycemia
hypoglycemia, recurrent	Recurrent hypoglycemia
Hypoglycemic episodes	Recurrent hypoglycemia
Recurrent hypoglycaemia	Recurrent hypoglycemia
Recurrent hypoglycemic episodes	Recurrent hypoglycemia
Recurrent low blood sugar levels	Recurrent hypoglycemia
Early severe fetal akinesia sequence	Fetal akinesia sequence
Fetal akinesia	Fetal akinesia sequence
Absent/hypoplastic toes	Aplasia/Hypoplasia of toe
Absent/small toe	Aplasia/Hypoplasia of toe
Absent/underdeveloped toe	Aplasia/Hypoplasia of toe
Aplastic/hypoplastic toe phalanges	Aplasia/Hypoplasia of toe
'de toni-fanconi-debre' syndrome	Renal Fanconi syndrome
Renal tubular fanconi syndrome	Renal Fanconi syndrome
Gouty arthritis	Gout
Low blood sugar in newborn	Neonatal hypoglycemia
Abnormal facial shape	Abnormal facial shape
Abnormal morphology of the face	Abnormal facial shape
Deformity of face	Abnormal facial shape
Distinctive facies	Abnormal facial shape
Distortion of face	Abnormal facial shape
Dysmorphic facial features	Abnormal facial shape
Dysmorphic facies	Abnormal facial shape
Facial dysmorphism	Abnormal facial shape
Funny looking face	Abnormal facial shape
Malformation of face	Abnormal facial shape
Unusual facial appearance	Abnormal facial shape
Unusual facies	Abnormal facial shape
Columella, short	Short columella
Decreased length of columella	Short columella
Hypoplasia of columella	Short columella
Depressed philtrum	Deep philtrum
Increased depth of philtrum	Deep philtrum
Philtrum, deep	Deep philtrum
Prominent philtrum	Deep philtrum
Pronounced philtrum	Deep philtrum
Hyperplasia of forehead	Large forehead
Hypertrophy of forehead	Large forehead
Increased size of forehead	Large forehead
Increased size of frontal region of face	Large forehead
Large forehead	Large forehead
Cleft of the face	Facial cleft
Facial cleft	Facial cleft
Facial clefts	Facial cleft
Tessier facial cleft	Facial cleft
Frontal protruberance	Frontal bossing
Skull bossing	Frontal bossing
Decreased breadth of upper jaw bones	Narrow maxilla
Decreased transverse dimension of maxilla	Narrow maxilla
Decreased width of maxilla	Narrow maxilla
Decreased width of upper jaw bones	Narrow maxilla
Narrow upper jaw bones	Narrow maxilla
Transverse hypoplasia of maxilla	Narrow maxilla
