HPO name	Synonyms
Recurrent infection of the gastrointestinal tract	Gastrointestinal infections, Gastrointestinal infections, recurrent, Recurrent gastrointestinal infections, Recurrent infection of the gastrointestinal tract
Jejunoileal diverticula	
Duodenal diverticula	
Episodic hemolytic anemia	Episodic hemolysis
Congenital hemolytic anemia	Congenital haemolytic anemia, Neonatal hemolytic anemia
Acute myeloid leukemia	Acute myeloblastic leukemia, Acute myelocytic leukemia, Acute myelogenous leukemia, AML
Neonatal alloimmune thrombocytopenia	
Congenital hypoplastic anemia	Congenital dyserythropoietic anemia
B Acute Lymphoblastic Leukemia	Pre-B-cell acute lymphoblastic leukemia
Post-transfusion thrombocytopenia	Post-transfusion purpura
Fava bean-induced hemolytic anemia	Hemolytic anemia following ingestion of fava beans
Drug-sensitive hemolytic anemia	
Paroxysmal nocturnal hemoglobinuria	Paroxysmal nocturnal haemoglobinuria
Normocytic hypoplastic anemia	
Acute myelomonocytic leukemia	
Hypersegmentation of neutrophil nuclei	Hypermature neutrophils
Atypical elliptocytosis	
Anisopoikilocytosis	
Increased hemoglobin oxygen affinity	Increased haemoglobin oxygen affinity
Folate-unresponsive megaloblastic anemia	
Refractory anemia with ringed sideroblasts	Myelodysplasia with sideroblastosis
Recurrent thromboembolism	Recurrent thromboembolic disease
Microspherocytosis	
Acute promyelocytic leukemia	
Pyropoikilocytosis	hereditary pyropoikilocytosis
Hypochromic microcytic anemia	Hypochromic, microcytic anemia
Reduced factor XII activity	Factor XII deficiency, Hageman factor deficiency
Coombs-positive hemolytic anemia	Direct Coombs positive
Acute monocytic leukemia	Acute monoblastic leukemia, AML-M5, AMoL
Prolonged bleeding after surgery	Excessive bleeding during surgery, Prolonged bleeding after surgery, Protracted bleeding after surgery
Ph-positive acute lymphoblastic leukemia	Philadelphia-positive acute lymphoblastic leukemia
Recurrent deep vein thrombosis	Recurrent deep vein blood clot, Recurrent venous thrombosis
Folate-responsive megaloblastic anemia	
Reduced leukocyte alkaline phosphatase	Low leukocyte alkaline phosphatase
Intermittent thrombocytopenia	
Reduced protein S activity	Protein S deficiency
Normochromic microcytic anemia	
Hyperchromic macrocytic anemia	
Amegakaryocytic thrombocytopenia	
Thiamine-responsive megaloblastic anemia	
Refractory macrocytic anemia	
Compensated hemolytic anemia	
Refractory sideroblastic anemia	
Impaired ADP-induced platelet aggregation	
Chronic hemolytic anemia	hemolytic anemia, chronic
Perineal fistula	
Incisional hernia	Recurrent abdominal hernia
Neonatal inspiratory stridor	
Spontaneous neonatal pneumothorax	Neonatal pneumothorax
Intercostal muscle weakness	Muscle weakness between ribs
Intermittent hyperventilation	Episodic hyperventilation, Intermittent overbreathing
Respiratory infections in early life	
Episodic hypoventilation	Episodic slow breathing, Episodic under breathing
Episodic respiratory distress	Episodic difficulty breathing, respiratory distress, episodic
Congenital laryngeal stridor	
Respiratory failure requiring assisted ventilation	
Intermittent episodes of respiratory insufficiency due to muscle weakness	
Elevated pulmonary artery pressure	Elevated lung artery pressure, increased pulmonary artery pressure
Recurrent infections due to aspiration	
Laryngotracheal stenosis	
Stress/infection-induced lactic acidosis	
Persistent lactic acidosis	
Severe lactic acidosis	
Exercise-induced lactic acidemia	Exercise-induced lactic acidosis
Congenital lactic acidosis	
Maturity-onset diabetes of the young	Maturity onset diabetes of the young, MODY
Vitamin A deficiency	
Hypernatremic dehydration	
Hypokalemic hypochloremic metabolic alkalosis	
Bicarbonate-wasting renal tubular acidosis	Renal bicarbonate wasting
Episodic metabolic acidosis	Recurrent episodes of acidosis
Hypophosphatemic rickets	
Intermittent lactic acidemia	
Recurrent infantile hypoglycemia	Episodic infantile hypoglycemia, Recurrent low blood sugar in infant
Impairment of galactose metabolism	Impaired galactose metabolism
Generalized distal tubular acidosis	
Hyperchloremic metabolic acidosis	
Galactose intolerance	
Phenylpyruvic acidemia	
Abnormal magnesium concentration	Abnormal magnesium metabolism, Abnormality of magnesium homeostasis
Atypical hyperphenylalaninemia	
Hyperphenylalaninemia	
Abnormal oral glucose tolerance	Abnormal glucose oral tolerance test
Chronic lactic acidosis	
Orthostatic hypotension due to autonomic dysfunction	
Pulmonary artery dilatation	
obsolete Peripheral arterial stenosis	
obsolete Coronary atherosclerosis	
Abnormality of the pulmonary vasculature	Abnormality of the lung blood vessels
Arteriosclerosis of small cerebral arteries	Hardened artery wall in small cerebral arteries
Ascending aortic dissection	Type A aortic dissection
Vascular calcification	
Pulmonary artery atresia	Pulmonary atresia
Venous thrombosis	Blood clot in vein
Pulmonary artery aneurysm	
Tortuous cerebral arteries	Twisted cerebral arteries
Generalized arterial calcification	
Extrahepatic portal hypertension	
Aortic aneurysm	Aortic dilatation, Bulge in wall of large artery that carries blood away from heart
Accelerated atherosclerosis	Accelerated plaque build-up in arteries
Dilatation of the cerebral artery	Brain aneurysm, Cerebral aneurysm, Cerebral artery aneurysm, Intracranial aneurysm
Extracranial internal carotid artery dissection	
Arteriovenous fistula	Arteriovenous fistulas
Vascular tortuosity	Twisted blood vessels
Peripheral arterial stenosis	Arterial disease of legs, Occlusive arterial disease, Occlusive vascular disease, Peripheral artery disease, Peripheral artery occlusive disease, Peripheral vascular disease
Pulmonary arteriovenous fistulas	
obsolete Dilatation of abdominal aorta	
obsolete Dilatation of the descending aorta	
Generalized arterial tortuosity	Arterial tortuosity, general, Arterial tortuosity, generalized, Generalized twisted arteries
Descending thoracic aorta aneurysm	Dilatation of the descending thoracic aorta
Absent pulmonary artery	Absent lung artery, Missing pulmonary artery
Pulmonary artery sling	
Thoracic aorta calcification	
Calcification of the aorta	
Pulmonary arterial medial hypertrophy	Hypertrophy of the pulmonary artery wall
Medial calcification of large arteries	
Recurrent cerebral hemorrhage	Recurrent hemorrhagic stroke
Peripheral pulmonary artery stenosis	Narrowing of peripheral lung artery, peripheral pulmonary stenosis, Peripheral pulmonic stenosis
Ascending tubular aorta aneurysm	Aneurysm of the ascending tubular aorta, Ascending aorta dilation, Ascending aortic aneurysm, Ascending aortic dilation, Bulging of wall of large artery located above heart, Dilatation of ascending aorta
Pulmonary artery hypoplasia	Underdeveloped lung artery, Underdeveloped pulmonary artery
Elevated mean arterial pressure	
Coarctation of abdominal aorta	
Erlenmeyer flask deformity of the femurs	Erlenmeyer flask deformity of distal femur, Erlenmeyer flask femora, Erlenmeyer flask shaped thighbone
Knee dislocation	Dislocations of the knees, Knee dislocations
Bilateral radial aplasia	Bilateral absence of radius
Metaphyseal sclerosis	Increased bone density in wide portion of long bone, Sclerotic metaphyses
Metaphyseal rarefaction	Rarefaction of the metaphyses
Prominent styloid process of ulna	
obsolete Rudimentary to absent fibulae	
Mesomelic leg shortening	Mesomelia of the lower limbs, Mesomelic lower limb shortening
Epiphyseal streaking	
Rhizomelic arm shortening	
Slender long bones with narrow diaphyses	Slender long bones with narrow shaft
Multicentric ossification of proximal humeral epiphyses	
Recurrent patellar dislocation	Recurrent dislocation of patellas
Aplasia/Hypoplasia of the capital femoral epiphysis	Absent/small end part of innermost thighbone, Absent/underdeveloped end part of innermost thighbone
Flattened proximal radial epiphyses	
Femoral bowing present at birth, straightening with time	Bowing of thighbone at birth, straightening with time
Large joint dislocations	Large joint dislocations
Dumbbell-shaped humerus	Dumbbell-shaped long bone in upper arm
Osteomyelitis leading to amputation due to slow healing fractures	
Mesomelic arm shortening	Mesomelia of the upper limbs, Upper limb brachymesomelia
Dysplastic distal radial epiphyses	
Polyarticular chondrocalcinosis	
Diaphyseal thickening	Thickening of shaft or central part of long bones
Bilateral elbow dislocations	Dislocated elbows on both sides
Hypoplastic distal humeri	
Mesomelic/rhizomelic limb shortening	
Widened proximal tibial metaphyses	Wide innermost wide portion of shankbone bone, Wide innermost wide portion of shinbone bone
Distal ulnar hypoplasia	Distal shortening of ulna, Hypoplastic distal ulna
Shortening of all phalanges of the toes	Short toe bones
Unilateral ulnar hypoplasia	
Proximal radio-ulnar synostosis	
Multiple long-bone exostoses	Multiple exostoses of long tubular bones
Irregular capital femoral epiphysis	Irregular capital femoral epiphyses, Irregular end part of innermost thighbone, Irregular proximal femoral epiphyses
Irregular, rachitic-like metaphyses	
Proximal humeral metaphyseal irregularity	Irregular proximal humeral metaphyses
Diaphyseal cortical sclerosis	
Synostosis of carpal bones	Fusion of carpal bones, Fusion of wrist bones
Anterolateral radial head dislocation	Anterior/lateral radial head dislocation
Metaphyseal spurs	
Arthralgia/arthritis	Joint pain/Joint inflammation
Limited elbow flexion/extension	
Fragmented, irregular epiphyses	Fragmented, irregular end part of bone
Cone-shaped epiphyses fused within their metaphyses	Cone-shaped end part of long bone fused within their wide portion of wide bone
Proximal fibular overgrowth	Overgrowth of innermost part of calf bone
Absent styloid process of ulna	
Rhizo-meso-acromelic limb shortening	
Proximal radial head dislocation	
Hyperextensibility at wrists	Increased laxity of wrists, Increased wrist mobility
Anterior radial head dislocation	Anterior dislocation of radial head
Limited knee flexion/extension	
Knee osteoarthritis	
Abnormal metaphyseal trabeculation	
Lateral femoral bowing	
Streaky metaphyseal sclerosis	Streak increase in bone density in wide portion of wide bone
Absent proximal radial epiphyses	
Distal femoral bowing	
Severe hydrops fetalis	Severe hydrops
Premature birth following premature rupture of fetal membranes	
High-frequency hearing impairment	Hearing loss, high-frequency, High frequency hearing loss, High-frequency deafness, Progressive high frequency hearing loss, Progressive high-frequency hearing loss
Cochlear degeneration	Progressive cochlear degeneration
Calcification of the auricular cartilage	Cartilaginous ossification of pinnae, Ear cartilage calcification, Ossification of pinnae, Petrified ear
Hypoplastic nasal septum	Decreased size of nasal septum, Decreased size of septum of nose, Hypoplasia of septum of nose, Small nasal septum, Small septum of nose
Abnormal nasal morphology	Abnormal nose morphology, Abnormal of morphology of nose, Abnormal of nasal shape, Abnormal of shape of nose
Abnormality of the vertebral endplates	
Abnormal sacrum morphology	Abnormality of the sacrum
Abnormality of the intervertebral disk	
Abnormality of the Achilles tendon	Abnormality of the Achilles tendon, Abnormality of the calcaneal tendon
Atrial fibrillation	Quivering upper heart chambers resulting in irregular heartbeat
obsolete Dilatation of the ascending aorta	
Abdominal aortic aneurysm	Dilatation of the abdominal aorta
Aortic arch aneurysm	Aortic arch dilatation, Dilatation of the aortic arch
obsolete Abnormalities of the peripheral arteries	
Supraventricular arrhythmia	arrhythmias, Supraventricular
Arterial tortuosity	
Elevated diastolic blood pressure	
Abnormal cardiac atrium morphology	Abnormality of cardiac atrium morphology, Abnormality of heart atrium
Posterior scalloping of vertebral bodies	Posterior vertebral body scalloping
